69306	8.040078	7.147358	6.706705	6.794622	7.475157
73894	6.869688	6.99104	7.129922	7.112222	7.04721
74160	6.437999	6.620092	6.20117	6.407735	5.717815
109581	9.381569	9.710802	9.874874	9.934639	9.495911
109582	12.555275	12.511045	12.564419	12.538642	12.439174
112316	12.401259	12.054083	12.275169	12.206342	12.015476
162582	9.609852	9.099299	9.73072	9.530097	9.194303
168256	12.486269	12.402275	12.302666	12.256543	12.282444
199991	10.371458	9.548578	9.978313	9.871472	8.753136
382551	12.110468	11.913288	11.938524	11.899243	11.458105
392499	12.205038	11.927471	12.064725	12.031422	11.932256
397014	10.377248	9.902753	9.990862	10.248412	9.513486
400253	12.61513	12.313568	12.422621	12.368137	12.170793
437987	12.364917	12.360961	12.563211	12.341325	12.278704
870392	11.802912	11.6947	11.817369	11.803903	11.527011
1227887	12.392395	12.374603	12.46662	12.454694	12.308414
1266738	10.485458	10.341033	10.429499	10.380328	9.810715
1430728	10.247336	9.962542	10.192532	10.242334	9.744894
1474244	9.07401	9.222119	9.199404	9.139204	8.863206
1500620	9.318615	9.225199	8.837598	9.133667	8.325186
1500931	10.071107	10.114123	10.320903	10.31761	9.747738
1640170	10.187198	9.39046	9.547218	9.403993	8.502351
1643685	11.582639	11.400419	11.534432	11.434419	11.186178
1660598	8.734979	8.425099	8.552273	8.624309	8.204209
1670466	10.652049	10.416173	10.818984	10.760781	10.103269
